chr13	32890534	32890724	1096
chr13	32893164	32893489	3344
chr13	32899112	32899395	1610
chr13	32900211	32900485	1793
chr13	32900530	32900779	1834
chr13	32903517	32903732	1560
chr13	32905022	32905244	2748
chr13	32906336	32907555	10530
chr13	32910383	32915377	42374
chr13	32918653	32918810	2904
chr13	32920879	32921054	2256
chr13	32928922	32929509	5476
chr13	32930544	32930833	2542
chr13	32931812	32932093	3626
chr13	32936619	32936858	2014
chr13	32937287	32937736	3592
chr13	32944471	32944742	1388
chr13	32945058	32945252	1572
chr13	32950743	32950982	1466
chr13	32953387	32953747	4159
chr13	32953784	32954085	2306
chr13	32954118	32954332	1502
chr13	32968781	32969116	3186
chr13	32971004	32971240	2672
chr13	32972207	32972932	6002
chr17	41197601	41197870	798
chr17	41199626	41199764	754
chr17	41201009	41201277	1088
chr17	41203047	41203234	718
chr17	41208956	41209231	1014
chr17	41215248	41215418	554
chr17	41215798	41216051	1418
chr17	41219594	41219732	700
chr17	41222903	41223282	1652
chr17	41226307	41226571	1134
chr17	41228405	41228665	1734
chr17	41231251	41231442	734
chr17	41234347	41234616	1374
chr17	41242913	41243074	1164
chr17	41243386	41246934	23668
chr17	41247827	41247970	832
chr17	41249157	41249366	1080
chr17	41251713	41251946	1266
chr17	41256049	41256302	960
chr17	41256823	41257070	1242
chr17	41258441	41258623	998
chr17	41267693	41267864	1100
chr17	41275963	41276123	808
chr11	108098340	108098732	1464
chr11	108099829	108099950	1481
chr11	108099952	108100085	2296
chr11	108106413	108106534	764
chr11	108114587	108114890	1648
chr11	108115454	108115846	2632
chr11	108117645	108117826	880
chr11	108119685	108119885	1360
chr11	108121313	108121807	2202
chr11	108122488	108122854	2182
chr11	108123514	108123699	1462
chr11	108124624	108124816	2550
chr11	108126957	108127159	1100
chr11	108128144	108128256	542
chr11	108128299	108128406	532
chr11	108129692	108129915	1132
chr11	108137842	108138115	886
chr11	108139109	108139379	1858
chr11	108141745	108142154	1404
chr11	108143117	108143324	976
chr11	108143494	108143616	476
chr11	108150047	108150385	2554
chr11	108151797	108151918	1020
chr11	108153427	108153684	852
chr11	108154878	108155056	994
chr11	108155113	108155230	572
chr11	108158274	108158503	1434
chr11	108159711	108159823	252
chr11	108160305	108160558	732
chr11	108164137	108164308	320
chr11	108165573	108165834	990
chr11	108168033	108168146	674
chr11	108170345	108170655	980
chr11	108172329	108172577	2476
chr11	108173533	108173707	2028
chr11	108175384	108175646	1298
chr11	108178587	108178749	1730
chr11	108180814	108181106	1508
chr11	108183042	108183264	1996
chr11	108186565	108186849	2012
chr11	108188101	108188282	1016
chr11	108190626	108190827	1546
chr11	108192052	108192174	522
chr11	108196020	108196287	2580
chr11	108196792	108196965	1804
chr11	108198243	108198498	1596
chr11	108199749	108199930	1162
chr11	108200851	108201174	2504
chr11	108202128	108202399	1036
chr11	108202515	108202792	824
chr11	108203407	108203659	2286
chr11	108204652	108204772	294
chr11	108205575	108205849	1904
chr11	108206463	108206721	1460
chr11	108213881	108214139	2266
chr11	108216377	108216494	16
chr11	108216514	108216657	924
chr11	108217931	108218144	2378
chr11	108224367	108224638	1464
chr11	108225459	108225672	1296
chr11	108235691	108235966	1453
chr11	108236009	108236285	1371
chr22	29083876	29083997	240
chr22	29091676	29091923	1032
chr22	29121059	29121176	402
chr22	29121216	29121331	406
